Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude,Transmitter Type,Sensor Precision
1/25/2022 22:23,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 22:32,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 22:42,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 22:52,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 23:01,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 23:11,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 23:21,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 23:30,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 23:40,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 23:52,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 00:03,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 00:14,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 00:25,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 00:36,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 00:46,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 00:57,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 01:07,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 01:16,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 01:26,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 01:36,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 01:46,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 01:57,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 02:07,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 02:18,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 02:28,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 02:38,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 02:48,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 02:57,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 03:07,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 03:18,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 03:28,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 03:38,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 03:48,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 03:57,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 04:07,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 04:17,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 04:27,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 04:36,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 04:47,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 04:57,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 05:08,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 05:19,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 05:29,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 05:39,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 05:48,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 05:57,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 06:07,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 06:16,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 06:25,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 06:35,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 06:45,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 06:54,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 07:03,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 07:13,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 07:24,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 07:33,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 07:44,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 07:54,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 08:05,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 08:15,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 08:26,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 08:36,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 08:46,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 08:56,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 09:07,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 09:17,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 09:27,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 09:38,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 09:49,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 10:01,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 10:12,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 10:22,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 10:33,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 10:44,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 10:54,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 11:04,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 11:14,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 11:25,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 11:36,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 11:47,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 11:58,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 12:08,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 12:18,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 12:27,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 12:37,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 12:46,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 12:55,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 13:06,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 13:15,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 13:24,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 13:33,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 13:43,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 13:53,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 14:03,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 14:14,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 14:25,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 14:34,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 14:45,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 14:55,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 15:06,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 15:17,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 15:28,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 15:38,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 15:48,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 15:59,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 16:09,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 16:19,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 16:30,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 16:41,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 16:52,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 17:03,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 17:13,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 17:24,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 17:35,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 17:45,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 17:56,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 18:06,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 18:16,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 18:26,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 18:35,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 18:45,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 18:55,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 19:06,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 19:16,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 19:26,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 19:37,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 19:48,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 19:59,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 20:09,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 20:19,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 20:29,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 20:38,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 20:48,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 20:59,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 21:09,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 21:19,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 21:30,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 21:40,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 21:51,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 22:02,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 22:13,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 22:23,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 22:33,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 22:43,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 22:52,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 23:01,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 23:11,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 23:21,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 23:30,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 23:39,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 23:49,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/26/2022 23:59,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 00:08,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 00:18,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 00:28,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 00:37,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 00:46,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 00:56,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 01:06,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 01:16,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 01:26,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 01:37,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 01:48,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 01:59,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 02:10,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 02:20,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 02:30,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 02:41,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 02:51,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 03:01,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 03:12,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 03:22,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 03:32,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 03:41,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 03:52,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 04:03,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 04:12,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 04:23,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 04:33,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 04:44,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 04:55,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 05:05,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 05:16,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 05:26,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 05:36,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 05:46,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 05:56,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 06:05,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 06:15,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 06:25,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 06:35,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 06:45,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 06:55,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 07:05,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 07:14,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 07:23,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 07:33,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 07:42,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 07:53,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 08:03,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 08:14,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 08:25,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 08:35,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 08:45,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 08:55,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 09:05,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 09:16,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 09:26,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 09:36,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 09:47,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 09:57,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 10:06,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 10:16,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 10:27,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 10:37,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 10:46,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 10:55,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 11:04,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 11:13,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 11:23,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 11:33,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 11:44,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 11:54,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 12:04,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 12:15,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 12:26,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 12:37,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 12:47,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 12:57,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 13:07,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 13:17,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 13:28,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 13:37,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 13:48,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 13:58,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 14:08,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 14:18,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 14:28,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 14:38,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 14:47,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 14:57,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 15:06,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 15:16,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 15:26,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 15:36,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/27/2022 15:46,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
